"y","title","director","dist","date","country","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","first_count","actor","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor2","dist_factor1","dir_to_m","dir_to_s"
6396528,"다크 나이트 라이즈","크리스토퍼 놀란","워너브러더스 코리아(주)",2012-07-19,"미국","액션","15세이상관람가","상업영화","일반영화","164분 0초","크리스찬 베일","게리 올드만","앤 해서웨이",3,3,863,7,441089,"크리스찬 베일,게리 올드만,앤 해서웨이",1446001.83333333,0.683042186890866,1915121.66666667,1.1119132924147,2949516.7,2.05756109916349,1,0,6487678.66666667,4.56644934367041
6126488,"미션 임파서블: 로그네이션","크리스토퍼 맥쿼리","롯데쇼핑㈜롯데엔터테인먼트",2015-07-30,"미국","액션","15세이상관람가","상업영화","일반영화","131분 22초","톰 크루즈","제레미 레너","사이먼 페그",4,6,1251,7,471801,"톰 크루즈,제레미 레너,사이먼 페그",2832225,1.95033258850696,1972673.25,1.16452716506517,1940232.4,1.13486961870911,0,1,3455259.5,2.17781495752403
5911890,"레미제라블","톰 후퍼","유니버설픽쳐스인터내셔널 코리아(유)",2012-12-19,"미국","드라마","12세이상관람가","상업영화","일반영화","158분 0초","휴 잭맨","러셀 크로우","앤 해서웨이",371,819,59207,12,283842,"휴 잭맨,러셀 크로우,앤 해서웨이",1871756.72727273,1.07226890269298,1478907.71428571,0.713124866282201,2949516.7,2.05756109916349,0,0,3022959.5,1.83729255993407
5546792,"쥬라기 월드","콜린 트레보로우","유니버설픽쳐스인터내셔널 코리아(유)",2015-06-11,"미국","액션","12세이상관람가","상업영화","일반영화","124분 45초","크리스 프랫","주디 그리어","브라이스 달라스 하워드",7,8,2761,6,274719,"크리스 프랫,주디 그리어,브라이스 달라스 하워드",2401428,1.55649636049341,2799947.5,1.92082437733161,2268912,1.43534973785805,0,0,5546792,3.82531359628721
5519298,"쥬라기 월드: 폴른 킹덤","후안 안토니오 바요나","유니버설픽쳐스인터내셔널 코리아(유)",2018-06-06,"미국","액션","12세이상관람가","상업영화","일반영화","127분 36초","크리스 프랫","브라이스 달라스 하워드","제프 골드블럼",1,1,624,6,1183496,"크리스 프랫,브라이스 달라스 하워드,제프 골드블럼",2401428,1.55649636049341,2268912,1.43534973785805,3510064,2.57001553653233,0,0,5519298,3.80365659235628
5446379,"닥터 스트레인지","스콧 데릭슨","월트디즈니컴퍼니코리아(주)",2016-10-26,"미국","액션","12세이상관람가","상업영화","일반영화","114분 47초","베네딕트 컴버배치","레이첼 맥아담스","틸다 스윈튼",1173,2755,118546,10,435068,"베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼",1676607.83333333,0.893863054253671,1545826,0.774301813268479,2180526,1.35454692621078,1,0,1856801.33333333,0.918710614797717
5399070,"블랙 팬서","라이언 쿠글러","월트디즈니컴퍼니코리아 유한책임회사",2018-02-14,"미국","액션","12세이상관람가","상업영화","일반영화","134분 22초","채드윅 보스만","마이클 B. 조던","루피타 뇽오",6,11,3023,2,630461,"채드윅 보스만,마이클 B. 조던,루피타 뇽오",5399070,4.29695188412755,2891466,2.0044909321903,5399070,4.29695188412755,1,0,5399070,3.7089530836414
5295801,"트랜스포머: 사라진 시대","마이클 베이","씨제이이앤엠(주)",2014-06-25,"미국","액션","12세이상관람가","상업영화","일반영화","164분 54초","마크 월버그","니콜라 펠츠","잭 레이너",10,14,3864,6,467419,"마크 월버그,니콜라 펠츠,잭 레이너",890450.1,0.175154715245533,5295801,4.20254297823746,5295801,4.20254297823746,0,1,3960009,2.57540577390694
5237525,"월드 워 Z","마크 포스터","롯데쇼핑㈜롯데엔터테인먼트",2013-06-20,"미국","드라마","15세이상관람가","상업영화","일반영화","115분 21초","브래드 피트","미레유 에노스","매튜 폭스",12,17,3348,6,239692,"브래드 피트,미레유 에노스,매튜 폭스",1259943.57142857,0.512947028244612,5237525,4.14926684116195,2630148,1.76559303960505,0,1,2632082.5,1.52939902950897
5137993,"미녀와 야수","빌 콘돈","월트디즈니컴퍼니코리아 유한책임회사",2017-03-16,"미국","멜로/로맨스","전체관람가","상업영화","일반영화","129분 6초","엠마 왓슨","댄 스티븐스","루크 에반스",4,7,2493,3,166930,"엠마 왓슨,댄 스티븐스,루크 에반스",2330627.8,1.49177055295388,3119835.5,2.21326718289154,1773037,0.982018958938455,1,0,3085030,1.88618544792761
4968687,"인사이드 아웃","피트 닥터","월트디즈니컴퍼니코리아(주)",2015-07-09,"미국","애니메이션","전체관람가","상업영화","일반영화","101분 41초","다이안 레인","에이미 포엘러","카일 맥라클란",2,12,2534,7,68222,"다이안 레인,에이미 포엘러,카일 맥라클란",1715485.33333333,0.929405010104332,4968687,3.90349413646181,4968687,3.90349413646181,1,0,4968687,3.36994070556608
