"y","title","director","dist","date","country","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","actor","first_count","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor1","dir_to_m","dir_to_s"
7049643,"인천상륙작전","이재한","씨제이이앤엠(주)",2016-07-27,"한국","전쟁","12세이상관람가","상업영화","일반영화","110분 20초","이정재","이범수","리암 니슨",32,76,12711,7,"이정재,이범수,리암 니슨",464460,6074719.875,3.47612573383391,2906345.75,1.37214721678925,2518368.33333333,1.11450840345462,1,3538356.5,1.21359032668402
6965706,"럭키","이계벽","(주)쇼박스",2016-10-13,"한국","코미디","15세이상관람가","상업영화","일반영화","112분 37초","유해진","이준","조윤희",345,1388,146036,10,"유해진,이준,조윤희",214065,3875673.45454545,2.01583529966041,2408060.33333333,1.0412576909119,6965706,4.06779060421435,1,6965706,2.94088194690661
6953800,"은밀하게 위대하게","장철수","(주)쇼박스",2013-06-05,"한국","액션","15세이상관람가","상업영화","일반영화","123분 47초","김수현","박기웅","이현우",15,34,9628,6,"김수현,박기웅,이현우",498158,2482266,1.09053442476657,6953800,4.05988435096406,6498629,3.75762522126556,1,6953800,2.93488164433158
6878264,"곡성","나홍진","이십세기폭스코리아(주)",2016-05-12,"한국","미스터리","15세이상관람가","상업영화","일반영화","156분 0초","곽도원","황정민","쿠니무라 준",895,2176,176514,5,"곽도원,황정민,쿠니무라 준",310042,2916067.42857143,1.37860295782769,5699044.53846154,3.22665619321883,6878264,4.00972420099645,0,6878264,2.89681353956866
6851297,"범죄도시","강윤성","메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,"한국","범죄","청소년관람불가","상업영화","일반영화","121분 0초","마동석","윤계상","조재윤",35,156,30408,10,"마동석,윤계상,조재윤",164399,1974657.0625,0.753453556969789,1451066.33333333,0.405759881150992,1522709,0.453334638936409,0,6851297,2.8832228995938
6654837,"늑대소년","조성희","씨제이이앤엠(주)",2012-10-31,"한국","멜로/로맨스","15세이상관람가","상업영화","일반영화","124분 0초","송중기","박보영","장영남",13,24,4855,10,"송중기,박보영,장영남",128787,3420602,1.7136422737393,1718259.16666667,0.583190941708472,3334649,1.65656465021985,1,4040855,1.4668360047873
6592151,"군함도","류승완","씨제이이앤엠(주)",2017-07-26,"한국","액션","15세이상관람가","상업영화","일반영화","132분 11초","황정민","소지섭","송중기",34,98,21629,7,"황정민,소지섭,송중기",972161,5699044.53846154,3.22665619321883,2832967,1.32341960208321,3420602,1.7136422737393,1,9051250,3.99193981970467
6246849,"사도","이준익","(주)쇼박스",2015-09-16,"한국","사극","12세이상관람가","상업영화","일반영화","125분 24초","송강호","유아인","문근영",15,63,14455,9,"송강호,유아인,문근영",250237,7205062.5,4.22673677472539,4454846.66666667,2.40043886851792,3134800.5,1.52385401250007,1,2831037.2,0.857120494905355
6043458,"연평해전","김학순","(주)넥스트엔터테인먼트월드(NEW)",2015-06-24,"한국","드라마","12세이상관람가","상업영화","일반영화","130분 0초","김무열","진구","이현우",42,81,9223,6,"김무열,진구,이현우",153400,2451116.42857143,1.06984935838387,2371169.75,1.01676026991539,6498629,3.75762522126556,1,6043458,2.47609385273441
5636259,"청년경찰","김주환","롯데쇼핑㈜롯데엔터테인먼트",2017-08-09,"한국","액션","15세이상관람가","상업영화","일반영화","108분 33초","박서준","강하늘","성동일",26,192,36656,8,"박서준,강하늘,성동일",308298,5636259,3.18496306643124,2356279.33333333,1.00687219624085,1479405.5,0.424578680795625,1,5636259,2.27087654984102
5602543,"숨바꼭질","허정","(주)넥스트엔터테인먼트월드(NEW)",2013-08-14,"한국","스릴러","15세이상관람가","상업영화","일반영화","107분 17초","손현주","문정희","전미선",18,84,17990,8,"손현주,문정희,전미선",293917,2442954,1.06442904699271,2613058.33333333,1.17738788609115,2812071,1.30954348349442,1,3453844,1.17099830825869
5593551,"덕혜옹주","허진호","롯데쇼핑㈜롯데엔터테인먼트",2016-08-03,"한국","사극","12세이상관람가","상업영화","일반영화","126분 57초","손예진","박해일","윤제문",24,90,14943,8,"손예진,박해일,윤제문",267112,3863051.42857143,2.0074535649147,2507468.55555556,1.10727033832082,1228996.25,0.258292862996483,1,5593551,2.2493528708242
5583596,"더 테러 라이브","김병우","롯데쇼핑㈜롯데엔터테인먼트",2013-07-31,"한국","범죄","15세이상관람가","상업영화","일반영화","97분 50초","하정우","이경영","전혜진",314,1050,127256,7,"하정우,이경영,전혜진",215832,5626903.84615385,3.17875071841317,1215180.14285714,0.249118191233957,2183772.66666667,0.892318072771086,1,5583596,2.24433581957824
5496547,"감시자들","조의석,김병서","(주)넥스트엔터테인먼트월드(NEW)",2013-07-03,"한국","범죄","15세이상관람가","상업영화","일반영화","118분 41초","설경구","정우성","한효주",13,51,12185,7,"설경구,정우성,한효주",210052,2385589.88888889,1.02633605271062,2856561.125,1.33908742733679,3651707,1.8671089844238,1,5496547,2.20046547363051
5440945,"검은 사제들","장재현","씨제이이앤엠(주)",2015-11-05,"한국","미스터리","15세이상관람가","상업영화","일반영화","108분 16초","김윤석","강동원","박소담",19,39,7584,11,"김윤석,강동원,박소담",191090,4110368.63636364,2.17168609288053,4864645,2.67256799709867,2898643.5,1.3670324898367,1,5440945,2.17244356671159
5316325,"더 킹","한재림","(주)넥스트엔터테인먼트월드(NEW)",2017-01-18,"한국","범죄","15세이상관람가","상업영화","일반영화","134분 27초","조인성","정우성","배성우",26,72,14012,1,"조인성,정우성,배성우",288966,5316325,2.97250890656394,2856561.125,1.33908742733679,1908599.16666667,0.709587400944258,1,7225455.5,3.07178868247793
5310510,"완득이","이한","씨제이이앤엠(주)",2011-10-20,"한국","드라마","12세이상관람가","상업영화","일반영화","107분 0초","김윤석","유아인","신창수",202,786,68509,10,"김윤석,유아인,신창수",59962,4110368.63636364,2.17168609288053,4454846.66666667,2.40043886851792,5310510,2.96864741969594,1,2664446,0.773163027549655
5181014,"타워","김지훈","씨제이이앤엠(주)",2012-12-25,"한국","드라마","12세이상관람가","상업영화","일반영화","121분 0초","설경구","손예진","김상경",323,1142,121532,12,"설경구,손예진,김상경",431704,2385589.88888889,1.02633605271062,3863051.42857143,2.0074535649147,1596723.14285714,0.502484190215775,1,3706596.5,1.29837874472725
5043827,"독전","이해영","(주)넥스트엔터테인먼트월드(NEW)",2018-05-22,"한국","범죄","15세이상관람가","상업영화","일반영화","123분 20초","조진웅","류준열","김주혁",12,36,7117,5,"조진웅,류준열,김주혁",376530,3000761.28571429,1.4348444397121,4455185.5,2.40066387289748,1553476.8,0.473766187630719,1,2700084.5,0.791123869420991
4897551,"바람과 함께 사라지다","김주호","(주)넥스트엔터테인먼트월드(NEW)",2012-08-08,"한국","코미디","12세이상관람가","상업영화","일반영화","121분 0초","차태현","오지호","민효린",19,98,20893,8,"차태현,오지호,민효린",172048,3566193.16666667,1.81032299225708,1713994.33333333,0.580358852643829,2501143.5,1.1030701458931,1,4897551,1.89858766065963
4801355,"님아, 그 강을 건너지 마오","진모영","CGV아트하우스,(주)대명문화공장",2014-11-27,"한국","다큐멘터리","전체관람가","다양성영화","예술,독립 영화","85분 37초","조병만","강계열","한경수",26,68,6198,11,"조병만,강계열,한경수",8607,4801355,2.63053987949316,4801355,2.63053987949316,2415414,1.04614093893684,0,4801355,1.85010747365246
4786259,"조선명탐정 : 각시투구꽃의 비밀","김석윤","(주)쇼박스",2011-01-27,"한국","코미디","12세이상관람가","상업영화","일반영화","115분 0초","김명민","한지민","오달수",25,90,13353,1,"김명민,한지민,오달수",97036,2344639.44444444,0.99914265572675,4302034.33333333,2.29896288942319,3580181.42857143,1.81961198445854,1,3694220.33333333,1.29214149084526
4774895,"군도: 민란의 시대","윤종빈","(주)쇼박스",2014-07-23,"한국","사극","15세이상관람가","상업영화","일반영화","137분 28초","하정우","강동원","조진웅",44,72,13964,7,"하정우,강동원,조진웅",551841,5626903.84615385,3.17875071841317,4864645,2.67256799709867,3000761.28571429,1.4348444397121,1,4742674.5,1.82053408584346
4710454,"범죄와의 전쟁: 나쁜놈들 전성시대","윤종빈","(주)쇼박스",2012-02-02,"한국","범죄","청소년관람불가","상업영화","일반영화","133분 0초","최민식","하정우","신수정",26,57,11076,2,"최민식,하정우,신수정",166041,4688421.28571429,2.55554554507023,5626903.84615385,3.17875071841317,4710454,2.57017650584079,1,4742674.5,1.82053408584346
4682492,"신세계","박훈정","(주)넥스트엔터테인먼트월드(NEW)",2013-02-21,"한국","범죄","청소년관람불가","상업영화","일반영화","134분 0초","이정재","최민식","황정민",13,35,9191,2,"이정재,최민식,황정민",168935,6074719.875,3.47612573383391,4688421.28571429,2.55554554507023,5699044.53846154,3.22665619321883,1,1704893.4,0.289574422085638
4662822,"도가니","황동혁","씨제이이앤엠(주)",2011-09-22,"한국","드라마","청소년관람불가","상업영화","일반영화","125분 0초","정유미","공유","허재호",232,843,102324,9,"정유미,공유,허재호",136094,1987708.33333333,0.762120334430442,5610093.6,3.16758777004326,4662822,2.53854618038992,1,5716370,2.31125033109316
4598583,"내 아내의 모든 것","민규동","(주)넥스트엔터테인먼트월드(NEW)",2012-05-17,"한국","코미디","15세이상관람가","상업영화","일반영화","121분 0초","임수정","이선균","류승룡",278,1104,97689,5,"임수정,이선균,류승룡",87798,1206796,0.24355064909426,1601921.66666667,0.505936302240451,4888570.07692308,2.68845559303237,1,1246676.6,0.0586455253141805
4571142,"판도라","박정우","(주)넥스트엔터테인먼트월드(NEW)",2016-12-07,"한국","드라마","12세이상관람가","상업영화","일반영화","135분 40초","김남길","김영애","문정희",28,78,18372,12,"김남길,김영애,문정희",154652,2756673.33333333,1.2727563188596,4188663.25,2.22367811736761,2613058.33333333,1.17738788609115,1,4542084,1.71944188916312
4513026,"연가시","박정우","씨제이이앤엠(주)",2012-07-05,"한국","공포(호러)","15세이상관람가","상업영화","일반영화","109분 0초","김명민","문정희","김동완",7,27,4236,7,"김명민,문정희,김동완",191274,2344639.44444444,0.99914265572675,2613058.33333333,1.17738788609115,4513026,2.43907321618017,1,4542084,1.71944188916312
4451351,"강철비","양우석","(주)넥스트엔터테인먼트월드(NEW)",2017-12-14,"한국","액션","15세이상관람가","상업영화","일반영화","139분 36초","정우성","곽도원","김갑수",41,99,16112,12,"정우성,곽도원,김갑수",236952,2856561.125,1.33908742733679,2916067.42857143,1.37860295782769,2178141.33333333,0.888578550893868,1,7911901,3.41773868258428
4277071,"아가씨","박찬욱","씨제이이앤엠(주)",2016-06-01,"한국","스릴러","청소년관람불가","상업영화","일반영화","144분 44초","김민희","김태리","하정우",30,55,10768,6,"김민희,김태리,하정우",290024,1220089.375,0.25237819733054,4277071,2.28238583287146,5626903.84615385,3.17875071841317,1,4277071,1.58588249168993
4131248,"용의자","원신연","(주)쇼박스",2013-12-24,"한국","액션","15세이상관람가","상업영화","일반영화","137분 32초","공유","박희순","조성하",23,92,19615,12,"공유,박희순,조성하",334061,5610093.6,3.16758777004326,1137761.66666667,0.197707971259668,2069133.28571429,0.816191079803957,1,3393971,1.14082393264348
4110645,"건축학개론","이용주","롯데쇼핑㈜롯데엔터테인먼트",2012-03-22,"한국","멜로/로맨스","12세이상관람가","상업영화","일반영화","118분 0초","엄태웅","한가인","이제훈",282,1354,85077,3,"엄태웅,한가인,이제훈",66580,1421876,0.386375858994611,4110645,2.1718696138698,2120113.5,0.850044807747615,1,4110645,1.50200828067435
4057546,"댄싱퀸","이석훈","씨제이이앤엠(주)",2012-01-18,"한국","코미디","12세이상관람가","상업영화","일반영화","124분 0초","황정민","엄정화","정성화",17,86,14333,1,"황정민,엄정화,정성화",46500,5699044.53846154,3.22665619321883,1362057.5,0.346653012526208,1531902,0.459439307685777,1,6821259,2.86808455852638
4018341,"꾼","장창원","(주)쇼박스",2017-11-22,"한국","범죄","15세이상관람가","상업영화","일반영화","116분 55초","현빈","유지태","배성우",49,189,38739,11,"현빈,유지태,배성우",213172,3318921,1.64612037413043,1608761.66666667,0.510478446724914,1908599.16666667,0.709587400944258,1,4018341,1.45548955659528
4001813,"타짜-신의 손","강형철","롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,"한국","드라마","청소년관람불가","상업영화","일반영화","147분 4초","최승현","신세경","곽도원",28,84,16803,9,"최승현,신세경,곽도원",201749,1700520.66666667,0.571411580606476,1991717.33333333,0.764782535781058,2916067.42857143,1.37860295782769,1,5665316.5,2.28552074537889
3893216,"박수건달","조진규","(주)쇼박스",2013-01-09,"한국","코미디","15세이상관람가","상업영화","일반영화","128분 0초","박신양","김정태","엄지원",14,40,10240,1,"박신양,김정태,엄지원",106959,3893216,2.02748453592939,1155996.2,0.209816726377616,1931906.2,0.725064581193411,1,3893216,1.39242993458114
3872015,"조선명탐정 : 사라진 놉의 딸","김석윤","(주)쇼박스",2015-02-11,"한국","사극","12세이상관람가","상업영화","일반영화","124분 53초","김명민","오달수","이연희",14,34,8202,2,"김명민,오달수,이연희",113443,2344639.44444444,0.99914265572675,3580181.42857143,1.81961198445854,3872015,2.01340588019619,1,3694220.33333333,1.29214149084526
3849433,"역린","이재규","롯데쇼핑㈜롯데엔터테인먼트",2014-04-30,"한국","사극","15세이상관람가","상업영화","일반영화","135분 53초","현빈","정재영","조정석",25,35,6366,4,"현빈,정재영,조정석",287855,3318921,1.64612037413043,1147267,0.204020046898993,1836469.83333333,0.661689469136067,1,3849433,1.37036448458597
3829891,"남한산성","황동혁","씨제이이앤엠(주)",2017-10-03,"한국","사극","15세이상관람가","상업영화","일반영화","140분 0초","이병헌","김윤석","박해일",40,155,28918,10,"이병헌,김윤석,박해일",444585,4581999.875,2.48487574628299,4110368.63636364,2.17168609288053,2507468.55555556,1.10727033832082,1,5716370,2.31125033109316
3586523,"귀향","조정래","(주)와우픽쳐스",2016-02-24,"한국","드라마","15세이상관람가","상업영화","일반영화","127분 13초","손숙","강하나","최리",21,47,11054,2,"손숙,강하나,최리",158174,3586523,1.82382314435431,1799858,0.637377153808421,3586523,1.82382314435431,0,1205692.66666667,0.0379907293529202
3562123,"신의 한 수","조범구","(주)쇼박스",2014-07-03,"한국","범죄","청소년관람불가","상업영화","일반영화","117분 31초","정우성","안성기","이범수",504,1320,73945,7,"정우성,안성기,이범수",181459,2856561.125,1.33908742733679,1185015.14285714,0.229086935623746,2906345.75,1.37214721678925,1,3343596,1.11543629261182
3450941,"부러진 화살","정지영","(주)넥스트엔터테인먼트월드(NEW)",2012-01-18,"한국","드라마","15세이상관람가","상업영화","일반영화","100분 0초","안성기","박원상","나영희",9,83,18184,1,"안성기,박원상,나영희",30872,1185015.14285714,0.229086935623746,1267063.66666667,0.283571767477518,3450941,1.73378907513026,1,1891780,0.383760223128657
3450143,"끝까지 간다","김성훈","(주)쇼박스",2014-05-29,"한국","액션","15세이상관람가","상업영화","일반영화","110분 45초","이선균","조진웅","신정근",107,300,26472,5,"이선균,조진웅,신정근",79698,1601921.66666667,0.505936302240451,3000761.28571429,1.4348444397121,4189864.66666667,2.22447592556732,1,4642457.75,1.77002754938404
3423920,"스파이","이승준","씨제이이앤엠(주)",2013-09-05,"한국","액션","15세이상관람가","상업영화","일반영화","121분 6초","설경구","문소리","다니엘 헤니",31,128,25297,9,"설경구,문소리,다니엘 헤니",133131,2385589.88888889,1.02633605271062,1080900.66666667,0.159949071035826,3423920,1.715845612248,1,1721586,0.297987041837353
3417677,"그것만이 내 세상","최성현","씨제이이앤엠(주)",2018-01-17,"한국","코미디","12세이상관람가","상업영화","일반영화","120분 27초","이병헌","윤여정","박정민",55,128,22707,1,"이병헌,윤여정,박정민",126797,4581999.875,2.48487574628299,1070944.16666667,0.153337395369224,1175390,0.222695299725976,1,3417677,1.15277111665521
3280243,"아이 캔 스피크","김현석","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,"한국","코미디","12세이상관람가","상업영화","일반영화","118분 32초","나문희","이제훈","박철민",37,162,31512,9,"나문희,이제훈,박철민",87136,5968320,3.40547023597151,2120113.5,0.850044807747615,1076251.44444444,0.156861726142008,1,1952838.33333333,0.414531974743549
3125069,"퀵","조범구","씨제이이앤엠(주)",2011-07-20,"한국","코미디","15세이상관람가","상업영화","일반영화","115분 0초","고창석","강예원","이민기",179,625,60106,7,"고창석,강예원,이민기",65763,1799868,0.637383794370533,751712.375,-0.0586504586927848,1582921,0.493318791523911,1,3343596,1.11543629261182
3119023,"감기","김성수","아이러브시네마",2013-08-14,"한국","드라마","15세이상관람가","상업영화","일반영화","121분 23초","장혁","수애","박민하",325,1067,126800,8,"장혁,수애,박민하",304661,1300578.6,0.305827567124763,1911023.5,0.711197294552226,3119023,1.51337686562819,0,2856525.5,0.869965910000524
3044134,"스물","이병헌","(주)넥스트엔터테인먼트월드(NEW)",2015-03-25,"한국","코미디","15세이상관람가","상업영화","일반영화","115분 26초","김우빈","이준호","강하늘",58,167,18501,3,"김우빈,이준호,강하늘",151161,3932622.5,2.05365266701521,3044134,1.46364636002922,2356279.33333333,1.00687219624085,1,2114051.5,0.495779058489424
3001530,"오싹한 연애","황인호","씨제이이앤엠(주)",2011-12-01,"한국","공포(호러)","12세이상관람가","상업영화","일반영화","114분 0초","손예진","이민기","신동훈",29,61,7826,12,"손예진,이민기,신동훈",60615,3863051.42857143,2.0074535649147,1582921,0.493318791523911,3001530,1.43535490920815,1,1763906,0.319315179328968
2982022,"형","권수경","씨제이이앤엠(주)",2016-11-23,"한국","코미디","12세이상관람가","상업영화","일반영화","109분 57초","조정석","도경수","박신혜",46,99,20515,11,"조정석,도경수,박신혜",75882,1836469.83333333,0.661689469136067,1186290.33333333,0.229933733779896,3424658.6,1.71633608416557,1,2982022,0.933212757985319
2971475,"친구 2","곽경택","롯데쇼핑㈜롯데엔터테인먼트",2013-11-14,"한국","액션","청소년관람불가","상업영화","일반영화","123분 39초","유오성","주진모","김우빈",11,43,8124,11,"유오성,주진모,김우빈",304184,1215623.75,0.249412771312494,1621038.5,0.518630954153522,3932622.5,2.05365266701521,1,1378888.8,0.125276904795962
2963449,"26년","조근현","(주)인벤트스톤,영화사청어람(주)",2012-11-29,"한국","액션","15세이상관람가","상업영화","일반영화","135분 0초","진구","한혜진","임슬옹",30,108,25561,11,"진구,한혜진,임슬옹",113921,2371169.75,1.01676026991539,2471380,1.08330550885168,1023239.33333333,0.121658704490971,0,865583,-0.133415360743824
2945137,"고지전","장훈","(주)쇼박스",2011-07-20,"한국","드라마","15세이상관람가","상업영화","일반영화","133분 0초","신하균","고수","이제훈",182,616,73808,7,"신하균,고수,이제훈",98066,1101209.875,0.173435526973702,1419273.5,0.384647652705018,2120113.5,0.850044807747615,1,7522554,3.22151830574241
