"y","title","director","dist","date","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","actor","first_count","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor1","dir_to_m","dir_to_s"
6965706,"럭키","이계벽","(주)쇼박스",2016-10-13,"코미디","15세이상관람가","상업영화","일반영화","112분 37초","유해진","이준","조윤희",345,1388,146036,10,"유해진,이준,조윤희",214065,3925144.28571429,1.90248650937253,2408060.33333333,0.945022158873801,6965706,3.82145048124166,1,6965706,2.8797299133027
6953800,"은밀하게 위대하게","장철수","(주)쇼박스",2013-06-05,"액션","15세이상관람가","상업영화","일반영화","123분 47초","김수현","박기웅","이현우",15,34,9628,6,"김수현,박기웅,이현우",498158,2482266,0.991854953016023,6953800,3.81393634826362,6953800,3.81393634826362,1,6953800,2.873831419344
6878264,"곡성","나홍진","이십세기폭스코리아(주)",2016-05-12,"미스터리","15세이상관람가","상업영화","일반영화","156분 0초","곽도원","황정민","쿠니무라 준",895,2176,176514,5,"곽도원,황정민,쿠니무라 준",310042,2916067.42857143,1.26563637585733,5057681.58333333,2.61725518540959,6878264,3.76626395210798,0,6878264,2.83640922552033
6654837,"늑대소년","조성희","씨제이이앤엠(주)",2012-10-31,"멜로/로맨스","15세이상관람가","상업영화","일반영화","124분 0초","송중기","박보영","장영남",13,24,4855,10,"송중기,박보영,장영남",128787,4419468.66666667,2.2144652707334,2540922,1.02887401768592,3334649,1.52981221911874,1,4040855,1.43069447288566
6592151,"군함도","류승완","씨제이이앤엠(주)",2017-07-26,"액션","15세이상관람가","상업영화","일반영화","132분 11초","황정민","소지섭","송중기",34,98,21629,7,"황정민,소지섭,송중기",972161,5057681.58333333,2.61725518540959,2832967,1.21318990594151,4419468.66666667,2.2144652707334,1,6879175,2.83686055493377
6246849,"사도","이준익","(주)쇼박스",2015-09-16,"사극","12세이상관람가","상업영화","일반영화","125분 24초","송강호","유아인","문근영",15,63,14455,9,"송강호,유아인,문근영",250237,7164707.85714286,3.94704483849413,2005792.5,0.691142267016429,3134800.5,1.40368352732792,1,3109405,0.969233680190076
5636259,"청년경찰","김주환","롯데쇼핑㈜롯데엔터테인먼트",2017-08-09,"액션","15세이상관람가","상업영화","일반영화","108분 33초","박서준","강하늘","성동일",26,192,36656,8,"박서준,강하늘,성동일",308298,5636259,2.98240785187381,2356279.33333333,0.912342054746825,1849400.66666667,0.592440013333764,1,5636259,2.22109266335181
5593551,"덕혜옹주","허진호","롯데쇼핑㈜롯데엔터테인먼트",2016-08-03,"사극","12세이상관람가","상업영화","일반영화","126분 57초","손예진","박해일","윤제문",24,90,14943,8,"손예진,박해일,윤제문",267112,3643391,1.72466594361944,2652617.875,1.0993676896033,1228996.25,0.200889426487183,1,5593551,2.19993418191486
5496547,"감시자들","조의석,김병서","(주)넥스트엔터테인먼트월드(NEW)",2013-07-03,"범죄","15세이상관람가","상업영화","일반영화","118분 41초","설경구","정우성","한효주",13,51,12185,7,"설경구,정우성,한효주",210052,2036161.875,0.710309033538343,3647687.16666667,1.72737734691435,3651707,1.72991435029216,1,5496547,2.1518762692683
5440945,"검은 사제들","장재현","씨제이이앤엠(주)",2015-11-05,"미스터리","15세이상관람가","상업영화","일반영화","108분 16초","김윤석","강동원","박소담",19,39,7584,11,"김윤석,강동원,박소담",191090,3990354.5,1.94364207981342,5106452.5,2.64803556112722,5440945,2.85914098067673,1,5440945,2.12432981696763
5316325,"더 킹","한재림","(주)넥스트엔터테인먼트월드(NEW)",2017-01-18,"범죄","15세이상관람가","상업영화","일반영화","134분 27초","조인성","정우성","배성우",26,72,14012,1,"조인성,정우성,배성우",288966,5316325,2.78049061517,3647687.16666667,1.72737734691435,1908599.16666667,0.629801461435593,1,7225455.5,3.00841552194759
5043827,"독전","이해영","(주)넥스트엔터테인먼트월드(NEW)",2018-05-22,"범죄","15세이상관람가","상업영화","일반영화","123분 20초","조진웅","류준열","김주혁",12,36,7117,5,"조진웅,류준열,김주혁",376530,3269154.54545455,1.48847725852924,4455185.5,2.23700693335905,1553476.8,0.405676088799201,1,5043827,1.92758883562275
