y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count
7257973,스파이더맨: 홈 커밍,존 와츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,미국,액션,12세이상관람가,상업영화,일반영화,133분 16초,톰 홀랜드,로버트 다우니 주니어,마이클 키튼,8,17,6197
7231770,1987,장준환,씨제이이앤엠(주),2017-12-27,한국,드라마,15세이상관람가,상업영화,일반영화,129분 5초,김윤석,하정우,유해진,45,170,35331
7166199,베를린,류승완,씨제이이앤엠(주),2013-01-30,한국,액션,15세이상관람가,상업영화,일반영화,120분 0초,하정우,한석균,류승범,631,1792,142751
7150541,마스터,조의석,씨제이이앤엠(주),2016-12-21,한국,액션,15세이상관람가,상업영화,일반영화,142분 51초,이병헌(진회장),강동원(김재명),김우빈(박장군),35,129,23444
7118592,터널,김성훈,(주)쇼박스,2016-08-10,한국,드라마,12세이상관람가,상업영화,일반영화,126분 20초,하정우,배두나,오달수,24,80,20854
7074867,어벤져스,조스 웨던,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,미국,액션,12세이상관람가,상업영화,일반영화,142분 0초,로버트 다우니 주니어(토니 스타크/ 아이언 맨),스칼렛 요한슨(나타샤 로마노프/블랙 위도우),크리스 헴스워스(토르),653,1463,79954
7071763,내부자들,우민호,(주)쇼박스,2015-11-19,한국,범죄,청소년관람불가,상업영화,일반영화,130분 6초,이병헌(안상구),조승우(우장훈),백윤식(이강희),712,1814,113784
7049643,인천상륙작전,이재한,씨제이이앤엠(주),2016-07-27,한국,전쟁,12세이상관람가,상업영화,일반영화,110분 20초,이정재(장학수),이범수(림계진),리암 니슨(더글러스 맥아더),32,76,12711
6965706,럭키,이계벽,(주)쇼박스,2016-10-13,한국,코미디,15세이상관람가,상업영화,일반영화,112분 37초,유해진,이준,조윤희,345,1388,146036
6953800,은밀하게 위대하게,장철수,(주)쇼박스,2013-06-05,한국,액션,15세이상관람가,상업영화,일반영화,123분 47초,김수현(원류환),박기웅(리해랑),이현우(리해진),15,34,9628
6878264,곡성,나홍진,이십세기폭스코리아(주),2016-05-12,한국,미스터리,15세이상관람가,상업영화,일반영화,156분 0초,곽도원(종구),황정민(일광),쿠니무라 준(외지인),895,2176,176514
6851297,범죄도시,강윤성,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,한국,범죄,청소년관람불가,상업영화,일반영화,121분 0초,마동석(마석도),윤계상,조재윤,35,156,30408
6654837,늑대소년,조성희,씨제이이앤엠(주),2012-10-31,한국,멜로/로맨스,15세이상관람가,상업영화,일반영화,124분 0초,송중기(늑대소년),박보영(소녀),장영남(엄마),13,24,4855
6592151,군함도,류승완,씨제이이앤엠(주),2017-07-26,한국,액션,15세이상관람가,상업영화,일반영화,132분 11초,황정민(이강옥),소지섭(최칠성),송중기(박무영),34,98,21629
6396528,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아(주),2012-07-19,미국,액션,15세이상관람가,상업영화,일반영화,164분 0초,크리스찬 베일(브루스 웨인/배트맨),게리 올드만(짐 고든),앤 해서웨이(셀리나 카일),3,3,863
6246849,사도,이준익,(주)쇼박스,2015-09-16,한국,사극,12세이상관람가,상업영화,일반영화,125분 24초,송강호,유아인,문근영,15,63,14455
6126488,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,미국,액션,15세이상관람가,상업영화,일반영화,131분 22초,톰 크루즈,제레미 레너,사이먼 페그,4,6,1251
6125154,킹스맨 : 시크릿 에이전트,매튜 본,이십세기폭스코리아(주),2015-02-11,미국,액션,청소년관람불가,상업영화,일반영화,128분 28초,콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,,59,6418
6043458,연평해전,김학순,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,한국,드라마,12세이상관람가,상업영화,일반영화,130분 0초,김무열,진구,이현우,42,81,9223
5911890,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,미국,드라마,12세이상관람가,상업영화,일반영화,158분 0초,휴 잭맨,러셀 크로우,앤 해서웨이,371,819,59207
5636259,청년경찰,김주환,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,한국,액션,15세이상관람가,상업영화,일반영화,108분 33초,박서준,강하늘,성동일,26,192,36656
5602543,숨바꼭질,허정,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,한국,스릴러,15세이상관람가,상업영화,일반영화,107분 17초,손현주,문정희,전미선,18,84,17990
5593551,덕혜옹주,허진호,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,한국,사극,12세이상관람가,상업영화,일반영화,126분 57초,손예진(덕혜옹주),박해일(김장한),윤제문(한택수),24,90,14943
5583596,더 테러 라이브,김병우,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,한국,범죄,15세이상관람가,상업영화,일반영화,97분 50초,하정우(윤영화),이경영(차대은),전혜진(박정민),314,1050,127256
5546792,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,미국,액션,12세이상관람가,상업영화,일반영화,124분 45초,크리스 프랫,주디 그리어,브라이스 달라스 하워드,7,8,2761
5519298,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,미국,액션,12세이상관람가,상업영화,일반영화,127분 36초,크리스 프랫,브라이스 달라스 하워드,제프 골드블럼,1,1,624
5496547,감시자들,"조의석,김병서",(주)넥스트엔터테인먼트월드(NEW),2013-07-03,한국,범죄,15세이상관람가,상업영화,일반영화,118분 41초,설경구(황반장),정우성(제임스),한효주(하윤주),13,51,12185
5446379,닥터 스트레인지,스콧 데릭슨,월트디즈니컴퍼니코리아(주),2016-10-26,미국,액션,12세이상관람가,상업영화,일반영화,114분 47초,베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,1173,2755,118546
5440945,검은 사제들,장재현,씨제이이앤엠(주),2015-11-05,한국,미스터리,15세이상관람가,상업영화,일반영화,108분 16초,김윤석,강동원,박소담(영신),19,39,7584
5399070,블랙 팬서,라이언 쿠글러,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,미국,액션,12세이상관람가,상업영화,일반영화,134분 22초,채드윅 보스만(티찰라 / 블랙 팬서 역),마이클 B. 조던,루피타 뇽오,6,11,3023
5316325,더 킹,한재림,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,한국,범죄,15세이상관람가,상업영화,일반영화,134분 27초,조인성(박태수),정우성(한강식),배성우(양동철),26,72,14012
5310510,완득이,이한,씨제이이앤엠(주),2011-10-20,한국,드라마,12세이상관람가,상업영화,일반영화,107분 0초,김윤석(동주 ),유아인,신창수(재래시장 행상2),202,786,68509
5295801,트랜스포머: 사라진 시대,마이클 베이,씨제이이앤엠(주),2014-06-25,미국,액션,12세이상관람가,상업영화,일반영화,164분 54초,마크 월버그,니콜라 펠츠,잭 레이너,10,14,3864
5237525,월드 워 Z,마크 포스터,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,미국,드라마,15세이상관람가,상업영화,일반영화,115분 21초,브래드 피트(제리 레인),미레유 에노스(카린 레인),매튜 폭스,12,17,3348
5181014,타워,김지훈,씨제이이앤엠(주),2012-12-25,한국,드라마,12세이상관람가,상업영화,일반영화,121분 0초,설경구(강영기 ),손예진(서윤희 ),김상경(이대호 ),323,1142,121532
5137993,미녀와 야수,빌 콘돈,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,미국,멜로/로맨스,전체관람가,상업영화,일반영화,129분 6초,엠마 왓슨,댄 스티븐스,루크 에반스,4,7,2493
5062722,쿵푸팬더 2,여인영,씨제이이앤엠(주),2011-05-26,미국,애니메이션,전체관람가,상업영화,일반영화,91분 0초,"더스틴 호프만(렛서팬더/사부, 시푸 )","잭 블랙(팬더곰, 포)","안젤리나 졸리(호랑이, 타이그리스 목소리 )",,,
5043827,독전,이해영,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,한국,범죄,15세이상관람가,상업영화,일반영화,123분 20초,조진웅(원호),류준열(락),김주혁(하림),12,36,7117
4968687,인사이드 아웃,피트 닥터,월트디즈니컴퍼니코리아(주),2015-07-09,미국,애니메이션,전체관람가,상업영화,일반영화,101분 41초,다이안 레인,에이미 포엘러,카일 맥라클란,2,12,2534
4945484,킹스맨: 골든 서클,매튜 본,이십세기폭스코리아(주),2017-09-27,미국,액션,청소년관람불가,상업영화,일반영화,140분 49초,콜린 퍼스,줄리안 무어,태런 에저튼,3,16,5735
4897551,바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,한국,코미디,12세이상관람가,상업영화,일반영화,121분 0초,차태현(이덕무),오지호(백동수),민효린(백수련),19,98,20893
4875494,마션,리들리 스콧,이십세기폭스코리아(주),2015-10-08,미국,액션,12세이상관람가,상업영화,일반영화,142분 0초,맷 데이먼,제시카 차스테인,제프 다니엘스,16,42,10011
4857152,토르: 라그나로크,타이카 와이티티,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,미국,액션,12세이상관람가,상업영화,일반영화,130분 21초,크리스 헴스워스,톰 히들스턴,케이트 블란쳇,5,7,2511
4853123,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,미국,액션,12세이상관람가,상업영화,일반영화,136분 0초,앤드류 가필드,엠마 스톤,마틴 쉰,7,23,5356
4801355,"님아, 그 강을 건너지 마오",진모영,"CGV아트하우스,(주)대명문화공장",2014-11-27,한국,다큐멘터리,전체관람가,다양성영화,"예술,독립 영화",85분 37초,조병만,강계열,한경수,26,68,6198
4786259,조선명탐정 : 각시투구꽃의 비밀,김석윤,(주)쇼박스,2011-01-27,한국,코미디,12세이상관람가,상업영화,일반영화,115분 0초,김명민(명탐정),한지민(한객주),오달수(개장수),25,90,13353
4774895,군도: 민란의 시대,윤종빈,(주)쇼박스,2014-07-23,한국,사극,15세이상관람가,상업영화,일반영화,137분 28초,하정우,강동원,조진웅,44,72,13964
4710454,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)쇼박스,2012-02-02,한국,범죄,청소년관람불가,상업영화,일반영화,133분 0초,최민식(최익현 ),하정우(최형배 ),신수정,26,57,11076
4703245,주토피아,"바이론 하워드,리치 무어",월트디즈니컴퍼니코리아(주),2016-02-17,미국,애니메이션,전체관람가,상업영화,일반영화,108분 25초,지니퍼 굿윈,제이슨 베이트먼,샤키라,22,43,10460
4697142,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아(주),2014-06-04,미국,액션,12세이상관람가,상업영화,일반영화,113분 18초,톰 크루즈,에밀리 블런트,빌 팩스톤,478,1384,80680
4682492,신세계,박훈정,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,한국,범죄,청소년관람불가,상업영화,일반영화,134분 0초,이정재(이자성),최민식(강과장),황정민(정청),13,35,9191
4666993,신비한 동물사전,데이빗 예이츠,워너브러더스 코리아(주),2016-11-16,미국,어드벤처,12세이상관람가,상업영화,일반영화,132분 40초,에디 레드메인,콜린 파렐,캐서린 워터스턴,3,8,2484
4662822,도가니,황동혁,씨제이이앤엠(주),2011-09-22,한국,드라마,청소년관람불가,상업영화,일반영화,125분 0초,정유미(서유진),공유,허재호(방송피디),232,843,102324
4598583,내 아내의 모든 것,민규동,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,한국,코미디,15세이상관람가,상업영화,일반영화,121분 0초,임수정(정인),이선균(두현),류승룡(성기),278,1104,97689
4571142,판도라,박정우,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,한국,드라마,12세이상관람가,상업영화,일반영화,135분 40초,김남길,김영애,문정희,28,78,18372
4513026,연가시,박정우,씨제이이앤엠(주),2012-07-05,한국,공포(호러),15세이상관람가,상업영화,일반영화,109분 0초,김명민(재혁),문정희(경순),김동완(재필),7,27,4236
4451351,강철비,양우석,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,한국,액션,15세이상관람가,상업영화,일반영화,139분 36초,정우성,곽도원,김갑수,41,99,16112
4400298,해리포터와 죽음의 성물2,데이빗 예이츠,워너브러더스 코리아(주),2011-07-13,미국,판타지,전체관람가,상업영화,일반영화,131분 0초,다니엘 래드클리프(해리 포터 ),엠마 왓슨(헤르미온느),루퍼트 그린트(론 웨슬리),2,4,1160
