"y","title","director","dist","date","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","first_count","actor","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor2","dist_factor1","dir_to_m","dir_to_s"
11130,"익스트림 No.13","겔라 바블루아니","(주)팝파트너스",2012-10-03,"스릴러","청소년관람불가","상업영화","일반영화","90분 0초","제이슨 스타뎀","알렉산더 스카스가드","미키 루크",3,6,1278,10,117,"제이슨 스타뎀,알렉산더 스카스가드,미키 루크",773996.5,0.106158197205719,296330.666666667,-0.343609960860571,674770.5,0.0127274091151205,0,0,11130,-0.537945710471052
33993,"빅 웨딩","저스틴 잭햄","(주)나이너스엔터테인먼트",2013-06-27,"멜로/로맨스","청소년관람불가","상업영화","일반영화","87분 40초","아만다 사이프리드","벤 반스","로버트 드니로",4,5,1414,6,5044,"아만다 사이프리드,벤 반스,로버트 드니로",128056,-0.50205668573459,63295.5,-0.563034902654965,532780.625,-0.120969665463473,0,0,33993,-0.518535908074413
11164,"마일스","돈 치들","(주)영화사 빅",2016-08-10,"드라마","청소년관람불가","다양성영화","예술영화","100분 7초","돈 치들","이완 맥그리거","마이클 스털버그",2,7,837,8,617,"돈 치들,이완 맥그리거,마이클 스털버그",15827.5,-0.607730573639229,259963,-0.377853604237134,11164,-0.612121705804795,0,0,11164,-0.537916845786563
55110,"위시 어폰","존 R. 레오네티","(주)이수C&E",2017-07-20,"공포(호러)","15세이상관람가","상업영화","일반영화","90분 12초","조이 킹","이기홍",NA,1,2,343,7,9819,"조이 킹,이기홍,NA",55110,-0.570742335343128,55110,-0.570742335343128,417778.225219254,-0.229255445841852,0,0,490461.5,-0.131011813017322
78049,"엑스 마키나","알렉스 가랜드","유니버설픽쳐스인터내셔널 코리아(유)",2015-01-21,"SF","청소년관람불가","상업영화","일반영화","108분 0초","도널 글리슨","알리시아 비칸데르","오스카 아이삭",2,2,341,1,8662,"도널 글리슨,알리시아 비칸데르,오스카 아이삭",176786,-0.456172720809521,208666.25,-0.426154410265659,65571,-0.560892301337769,0,0,78049,-0.481134068666359
213986,"한 솔로: 스타워즈 스토리","론 하워드","월트디즈니컴퍼니코리아 유한책임회사",2018-05-24,"액션","12세이상관람가","상업영화","일반영화","135분 0초","엘든 이렌리치","에밀리아 클라크","폴 베타니",1,2,1074,5,19176,"엘든 이렌리치,에밀리아 클라크,폴 베타니",213986,-0.421145355834915,1464338.33333333,0.756181190576828,153661,-0.477947124439569,1,0,459098.5,-0.157637786536361
627102,"설리: 허드슨강의 기적","클린트 이스트우드","워너브러더스 코리아(주)",2016-09-28,"드라마","12세이상관람가","상업영화","일반영화","95분 41초","톰 행크스","아론 에크하트","로라 린니",343,1705,45109,9,33583,"톰 행크스,아론 에크하트,로라 린니",335953.142857143,-0.306301602400317,337520.6,-0.304825691286744,431154.5,-0.216660401251912,1,0,485934,-0.134855485341635
77308,"매직 인 더 문라이트","우디 앨런","(주)인벤트스톤",2014-08-20,"코미디","12세이상관람가","다양성영화","예술영화","97분 19초","콜린 퍼스","엠마 스톤",NA,28,67,5795,8,7317,"콜린 퍼스,엠마 스톤,NA",77308,-0.549840791049948,1731805.75,1.00802739548001,400172.451087579,-0.245832969394826,0,0,77053.6,-0.481979124752858
217785,"50가지 그림자: 해방","제임스 폴리","유니버설픽쳐스인터내셔널 코리아(유)",2018-02-21,"드라마","청소년관람불가","상업영화","일반영화","105분 20초","다코타 존슨","제이미 도넌",NA,2,2,341,2,21009,"다코타 존슨,제이미 도넌,NA",291100,-0.348535134795889,291100,-0.348535134795889,496518.677870511,-0.155113763764399,0,0,217785,-0.362503611259336
3842441,"매드 맥스: 분노의 도로","조지 밀러","워너브러더스 코리아(주)",2015-05-14,"액션","15세이상관람가","상업영화","일반영화","120분 0초","톰 하디","샤를리즈 테론","니콜라스 홀트",18,19,3958,5,89736,"톰 하디,샤를리즈 테론,니콜라스 홀트",1457956.66666667,0.750172239838129,1105832.5,0.418613591929196,1233391.75,0.538722850145244,1,0,3842441,2.71468908942704
444045,"익스펜더블 2","사이먼 웨스트","롯데쇼핑㈜롯데엔터테인먼트",2012-09-06,"액션","15세이상관람가","상업영화","일반영화","100분 0초","실베스터 스탤론","브루스 윌리스","아놀드 슈왈제네거",7,11,2357,9,35456,"실베스터 스탤론,브루스 윌리스,아놀드 슈왈제네거",444045,-0.204522760171128,930101.333333333,0.253145857729017,940885,0.263299713323045,0,1,330561,-0.266761150729949
13747,"헤이츠","마크 톤데라이","(주)나이너스엔터테인먼트",2012-12-06,"스릴러","15세이상관람가","상업영화","일반영화","100분 0초","제니퍼 로렌스","엘리자베스 슈","맥스 티에리옷",1,3,869,12,2300,"제니퍼 로렌스,엘리자베스 슈,맥스 티에리옷",552092.545454545,-0.102785641642991,13747,-0.609689563769059,13747,-0.609689563769059,0,0,13747,-0.535723978726662
