y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count,month,first_count
7231770,1987,장준환,씨제이이앤엠(주),2017-12-27,한국,드라마,15세이상관람가,상업영화,일반영화,129분 5초,김윤석,하정우,유해진,45,170,35331,12,331736
7166199,베를린,류승완,씨제이이앤엠(주),2013-01-30,한국,액션,15세이상관람가,상업영화,일반영화,120분 0초,하정우,한석균,류승범,631,1792,142751,1,273647
7150541,마스터,조의석,씨제이이앤엠(주),2016-12-21,한국,액션,15세이상관람가,상업영화,일반영화,142분 51초,이병헌,강동원,김우빈,35,129,23444,12,392856
7118592,터널,김성훈,(주)쇼박스,2016-08-10,한국,드라마,12세이상관람가,상업영화,일반영화,126분 20초,하정우,배두나,오달수,24,80,20854,8,379079
7071763,내부자들,우민호,(주)쇼박스,2015-11-19,한국,범죄,청소년관람불가,상업영화,일반영화,130분 6초,이병헌,조승우,백윤식,712,1814,113784,11,230949
7049643,인천상륙작전,이재한,씨제이이앤엠(주),2016-07-27,한국,전쟁,12세이상관람가,상업영화,일반영화,110분 20초,이정재,이범수,리암 니슨,32,76,12711,7,464460
6965706,럭키,이계벽,(주)쇼박스,2016-10-13,한국,코미디,15세이상관람가,상업영화,일반영화,112분 37초,유해진,이준,조윤희,345,1388,146036,10,214065
6953800,은밀하게 위대하게,장철수,(주)쇼박스,2013-06-05,한국,액션,15세이상관람가,상업영화,일반영화,123분 47초,김수현,박기웅,이현우,15,34,9628,6,498158
6878264,곡성,나홍진,이십세기폭스코리아(주),2016-05-12,한국,미스터리,15세이상관람가,상업영화,일반영화,156분 0초,곽도원,황정민,쿠니무라 준,895,2176,176514,5,310042
6851297,범죄도시,강윤성,"메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017-10-03,한국,범죄,청소년관람불가,상업영화,일반영화,121분 0초,마동석,윤계상,조재윤,35,156,30408,10,164399
6654837,늑대소년,조성희,씨제이이앤엠(주),2012-10-31,한국,멜로/로맨스,15세이상관람가,상업영화,일반영화,124분 0초,송중기,박보영,장영남,13,24,4855,10,128787
6592151,군함도,류승완,씨제이이앤엠(주),2017-07-26,한국,액션,15세이상관람가,상업영화,일반영화,132분 11초,황정민,소지섭,송중기,34,98,21629,7,972161
6246849,사도,이준익,(주)쇼박스,2015-09-16,한국,사극,12세이상관람가,상업영화,일반영화,125분 24초,송강호,유아인,문근영,15,63,14455,9,250237
6043458,연평해전,김학순,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,한국,드라마,12세이상관람가,상업영화,일반영화,130분 0초,김무열,진구,이현우,42,81,9223,6,153400
5636259,청년경찰,김주환,롯데쇼핑㈜롯데엔터테인먼트,2017-08-09,한국,액션,15세이상관람가,상업영화,일반영화,108분 33초,박서준,강하늘,성동일,26,192,36656,8,308298
5602543,숨바꼭질,허정,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,한국,스릴러,15세이상관람가,상업영화,일반영화,107분 17초,손현주,문정희,전미선,18,84,17990,8,293917
5593551,덕혜옹주,허진호,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,한국,사극,12세이상관람가,상업영화,일반영화,126분 57초,손예진,박해일,윤제문,24,90,14943,8,267112
5583596,더 테러 라이브,김병우,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,한국,범죄,15세이상관람가,상업영화,일반영화,97분 50초,하정우,이경영,전혜진,314,1050,127256,7,215832
5496547,감시자들,"조의석,김병서",(주)넥스트엔터테인먼트월드(NEW),2013-07-03,한국,범죄,15세이상관람가,상업영화,일반영화,118분 41초,설경구,정우성,한효주,13,51,12185,7,210052
5440945,검은 사제들,장재현,씨제이이앤엠(주),2015-11-05,한국,미스터리,15세이상관람가,상업영화,일반영화,108분 16초,김윤석,강동원,박소담,19,39,7584,11,191090
5316325,더 킹,한재림,(주)넥스트엔터테인먼트월드(NEW),2017-01-18,한국,범죄,15세이상관람가,상업영화,일반영화,134분 27초,조인성,정우성,배성우,26,72,14012,1,288966
5310510,완득이,이한,씨제이이앤엠(주),2011-10-20,한국,드라마,12세이상관람가,상업영화,일반영화,107분 0초,김윤석,유아인,신창수,202,786,68509,10,59962
5181014,타워,김지훈,씨제이이앤엠(주),2012-12-25,한국,드라마,12세이상관람가,상업영화,일반영화,121분 0초,설경구,손예진,김상경,323,1142,121532,12,431704
5043827,독전,이해영,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,한국,범죄,15세이상관람가,상업영화,일반영화,123분 20초,조진웅,류준열,김주혁,12,36,7117,5,376530
4897551,바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,한국,코미디,12세이상관람가,상업영화,일반영화,121분 0초,차태현,오지호,민효린,19,98,20893,8,172048
4801355,"님아, 그 강을 건너지 마오",진모영,"CGV아트하우스,(주)대명문화공장",2014-11-27,한국,다큐멘터리,전체관람가,다양성영화,"예술,독립 영화",85분 37초,조병만,강계열,한경수,26,68,6198,11,8607
4786259,조선명탐정 : 각시투구꽃의 비밀,김석윤,(주)쇼박스,2011-01-27,한국,코미디,12세이상관람가,상업영화,일반영화,115분 0초,김명민,한지민,오달수,25,90,13353,1,97036
4774895,군도: 민란의 시대,윤종빈,(주)쇼박스,2014-07-23,한국,사극,15세이상관람가,상업영화,일반영화,137분 28초,하정우,강동원,조진웅,44,72,13964,7,551841
4710454,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)쇼박스,2012-02-02,한국,범죄,청소년관람불가,상업영화,일반영화,133분 0초,최민식,하정우,신수정,26,57,11076,2,166041
4682492,신세계,박훈정,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,한국,범죄,청소년관람불가,상업영화,일반영화,134분 0초,이정재,최민식,황정민,13,35,9191,2,168935
4662822,도가니,황동혁,씨제이이앤엠(주),2011-09-22,한국,드라마,청소년관람불가,상업영화,일반영화,125분 0초,정유미,공유,허재호,232,843,102324,9,136094
4598583,내 아내의 모든 것,민규동,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,한국,코미디,15세이상관람가,상업영화,일반영화,121분 0초,임수정,이선균,류승룡,278,1104,97689,5,87798
4571142,판도라,박정우,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,한국,드라마,12세이상관람가,상업영화,일반영화,135분 40초,김남길,김영애,문정희,28,78,18372,12,154652
4513026,연가시,박정우,씨제이이앤엠(주),2012-07-05,한국,공포(호러),15세이상관람가,상업영화,일반영화,109분 0초,김명민,문정희,김동완,7,27,4236,7,191274
4451351,강철비,양우석,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,한국,액션,15세이상관람가,상업영화,일반영화,139분 36초,정우성,곽도원,김갑수,41,99,16112,12,236952
4277071,아가씨,박찬욱,씨제이이앤엠(주),2016-06-01,한국,스릴러,청소년관람불가,상업영화,일반영화,144분 44초,김민희,김태리,하정우,30,55,10768,6,290024
4131248,용의자,원신연,(주)쇼박스,2013-12-24,한국,액션,15세이상관람가,상업영화,일반영화,137분 32초,공유,박희순,조성하,23,92,19615,12,334061
4110645,건축학개론,이용주,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,한국,멜로/로맨스,12세이상관람가,상업영화,일반영화,118분 0초,엄태웅,한가인,이제훈,282,1354,85077,3,66580
4057546,댄싱퀸,이석훈,씨제이이앤엠(주),2012-01-18,한국,코미디,12세이상관람가,상업영화,일반영화,124분 0초,황정민,엄정화,정성화,17,86,14333,1,46500
4018341,꾼,장창원,(주)쇼박스,2017-11-22,한국,범죄,15세이상관람가,상업영화,일반영화,116분 55초,현빈,유지태,배성우,49,189,38739,11,213172
4001813,타짜-신의 손,강형철,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,한국,드라마,청소년관람불가,상업영화,일반영화,147분 4초,최승현,신세경,곽도원,28,84,16803,9,201749
3893216,박수건달,조진규,(주)쇼박스,2013-01-09,한국,코미디,15세이상관람가,상업영화,일반영화,128분 0초,박신양,김정태,엄지원,14,40,10240,1,106959
3872015,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,2015-02-11,한국,사극,12세이상관람가,상업영화,일반영화,124분 53초,김명민,오달수,이연희,14,34,8202,2,113443
3849433,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,한국,사극,15세이상관람가,상업영화,일반영화,135분 53초,현빈,정재영,조정석,25,35,6366,4,287855
3829891,남한산성,황동혁,씨제이이앤엠(주),2017-10-03,한국,사극,15세이상관람가,상업영화,일반영화,140분 0초,이병헌,김윤석,박해일,40,155,28918,10,444585
3586523,귀향,조정래,(주)와우픽쳐스,2016-02-24,한국,드라마,15세이상관람가,상업영화,일반영화,127분 13초,손숙,강하나,최리,21,47,11054,2,158174
3562123,신의 한 수,조범구,(주)쇼박스,2014-07-03,한국,범죄,청소년관람불가,상업영화,일반영화,117분 31초,정우성,안성기,이범수,504,1320,73945,7,181459
3450941,부러진 화살,정지영,(주)넥스트엔터테인먼트월드(NEW),2012-01-18,한국,드라마,15세이상관람가,상업영화,일반영화,100분 0초,안성기,박원상,나영희,9,83,18184,1,30872
3450143,끝까지 간다,김성훈,(주)쇼박스,2014-05-29,한국,액션,15세이상관람가,상업영화,일반영화,110분 45초,이선균,조진웅,신정근,107,300,26472,5,79698
3423920,스파이,이승준,씨제이이앤엠(주),2013-09-05,한국,액션,15세이상관람가,상업영화,일반영화,121분 6초,설경구,문소리,다니엘 헤니,31,128,25297,9,133131
3417677,그것만이 내 세상,최성현,씨제이이앤엠(주),2018-01-17,한국,코미디,12세이상관람가,상업영화,일반영화,120분 27초,이병헌,윤여정,박정민,55,128,22707,1,126797
3280243,아이 캔 스피크,김현석,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,한국,코미디,12세이상관람가,상업영화,일반영화,118분 32초,나문희,이제훈,박철민,37,162,31512,9,87136
3125069,퀵,조범구,씨제이이앤엠(주),2011-07-20,한국,코미디,15세이상관람가,상업영화,일반영화,115분 0초,고창석,강예원,이민기,179,625,60106,7,65763
3119023,감기,김성수,아이러브시네마,2013-08-14,한국,드라마,15세이상관람가,상업영화,일반영화,121분 23초,장혁,수애,박민하,325,1067,126800,8,304661
3044134,스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,한국,코미디,15세이상관람가,상업영화,일반영화,115분 26초,김우빈,이준호,강하늘,58,167,18501,3,151161
