title,country,date,count_date,final_y,acc_y,percent,percent_re
스킵트레이스: 합동수사,,2016-08-31,,22366,22338,0.9987481,0.9987481
사랑과 어둠의 이야기,,2016-09-01,,4377,4131,0.943797121,0.943797121
브링 홈: 아버지의 땅,,2016-09-01,,15025,7789,0.518402662,0.518402662
머니 몬스터,,2016-08-31,,47226,47154,0.998475416,0.998475416
프레셔스 카고: 프로 범죄단,,2016-09-01,,1745,1745,1,1
아이 캔 스피크,,2017-09-21,,3281433,2981599,0.908627115,0.908627115
인비저블 게스트,,2017-09-21,,94983,93165,0.980859733,0.980859733
괜찮아요 미스터 브래드,,2017-09-21,,17747,16048,0.90426551,0.90426551
윈드 리버: 감독판,,2017-09-21,,7574,7195,0.949960391,0.949960391
고양이 케디,,2017-09-21,,7172,6586,0.918293363,0.918293363
데이빗 린치: 아트 라이프,,2017-09-21,,1351,1266,0.937083642,0.937083642
어 퍼펙트 데이,,2017-09-21,,10488,9871,0.941170862,0.941170862
빌로우 허,,2017-09-21,,5227,5180,0.991008227,0.991008227
교주전: 천공의 눈,,2017-09-21,,212,197,0.929245283,0.929245283
이웃집 스타,,2017-09-21,,10854,10753,0.990694675,0.990694675
케이지 다이브,,2017-09-21,,994,990,0.995975855,0.995975855
잃어버린 도시 Z,,2017-09-21,,47088,46956,0.997196738,0.997196738
,,,,,,,0.949381499
